,0
1696,108
1697,128
1698,355
1699,127
1700,98
1701,127
1702,22
1703,127
1704,37
1705,127
1706,99
1707,127
1708,6688
1709,126
1710,192
1711,126
1712,221
1713,126
1714,124
1715,126
1716,1215
1717,125
1718,1187
1719,125
1720,46
1721,125
1722,413
1723,125
1724,114
1725,125
1726,19
1727,125
1728,178
1729,124
1730,54
1731,124
1732,35
1733,124
1734,78
1735,124
1736,254
1737,123
1738,59
1739,123
1740,504
1741,123
1742,96
1743,123
1744,70
1745,123
1746,55
1747,123
1748,42
1749,123
1750,180
1751,123
1752,138
1753,123
1754,14
1755,123
1756,27
1757,123
1758,158
1759,123
1760,91
1761,123
1762,254
1763,123
1764,141
1765,122
1766,96
1767,122
1768,488
1769,122
1770,177
1771,122
1772,25
1773,122
1774,137
1775,121
1776,897
1777,121
1778,408
1779,121
1780,283
1781,121
1782,4464
1783,121
1784,56
1785,121
1786,60
1787,120
1788,568
1789,120
1790,22
1791,120
1792,276
1793,120
1794,77
1795,120
1796,50
1797,119
1798,417
1799,119
1800,41
1801,119
1802,126
1803,119
1804,379
1805,118
1806,34
1807,118
1808,472
1809,118
1810,335
1811,118
1812,418
1813,118
1814,133
1815,118
1816,156
1817,117
1818,335
1819,117
1820,59
1821,117
1822,193
1823,117
1824,84
1825,117
1826,50
1827,117
1828,42
1829,116
1830,54
1831,116
1832,50
1833,116
1834,52
1835,116
1836,1069
1837,115
1838,252
1839,115
1840,496
1841,115
1842,100
1843,115
1844,100
1845,115
1846,50
1847,115
1848,183
1849,114
1850,119
1851,114
1852,36
1853,114
1854,120
1855,113
1856,120
1857,113
1858,50
1859,113
1860,1415
1861,113
1862,126
1863,113
1864,100
1865,113
1866,62
1867,113
1868,50
1869,113
1870,56
1871,113
1872,1144
1873,113
1874,101
1875,113
1876,125
1877,113
1878,115
1879,113
1880,112
1881,112
1882,134
1883,112
1884,234
1885,112
1886,184
1887,112
1888,215
1889,112
1890,150
1891,112
1892,44
1893,112
1894,3
1895,112
1896,40
1897,111
1898,389
1899,111
1900,350
1901,111
1902,196
1903,111
1904,127
1905,111
1906,5316
1907,111
1908,61
1909,111
1910,130
1911,111
1912,10
1913,111
1914,11
1915,111
1916,148
1917,110
1918,92
1919,110
1920,222
1921,110
1922,100
1923,110
1924,141
1925,109
1926,174
1927,109
1928,139
1929,109
1930,364
1931,109
1932,70
1933,108
1934,34
1935,108
1936,718
1937,108
1938,84
1939,108
1940,326
1941,108
1942,73
1943,108
1944,111
1945,108
1946,49
1947,108
1948,162
1949,108
1950,93
1951,108
1952,40
1953,108
1954,105
1955,108
1956,101
1957,108
1958,20
1959,107
1960,518
1961,107
1962,13
1963,107
1964,377
1965,107
1966,153
1967,107
1968,226
1969,107
1970,39
1971,107
1972,101
1973,107
1974,238
1975,106
1976,1314
1977,106
1978,100
1979,106
1980,1214
1981,106
1982,149
1983,106
1984,23
1985,106
1986,133
1987,106
1988,71
1989,106
1990,352
1991,105
1992,1246
1993,105
1994,365
1995,105
1996,134
1997,105
1998,47
1999,105
2000,79
2001,105
2002,84
2003,105
2004,47
2005,105
2006,38
2007,105
2008,23
2009,105
2010,35
2011,105
2012,95
2013,104
2014,168
2015,104
2016,160
2017,104
2018,451
2019,104
2020,618
2021,104
2022,157
2023,104
2024,146
2025,104
2026,30
2027,104
2028,43
2029,104
2030,25
2031,104
2032,82
2033,103
2034,199
2035,103
2036,106
2037,103
2038,138
2039,103
2040,94
2041,103
2042,140
2043,103
2044,116
2045,102
2046,239
2047,102
2048,60
2049,102
2050,88
2051,102
2052,377
2053,102
2054,120
2055,102
2056,100
2057,102
2058,29
2059,102
2060,75
2061,102
2062,240
2063,102
2064,36
2065,102
2066,118
2067,102
2068,460
2069,101
2070,100
2071,101
2072,235
2073,101
2074,41
2075,101
2076,199
2077,101
2078,174
2079,101
2080,98
2081,101
2082,8
2083,101
2084,37
2085,101
2086,262
2087,101
2088,56
2089,101
2090,541
2091,101
2092,1165
2093,100
2094,1238
2095,100
2096,110
2097,100
2098,30
2099,100
2100,35
2101,100
2102,198
2103,100
2104,701
2105,99
2106,24
2107,99
2108,115
2109,99
2110,64
2111,99
2112,156
2113,99
2114,82
2115,99
2116,262
2117,99
2118,381
2119,99
2120,144
2121,99
2122,509
2123,99
2124,43
2125,99
2126,100
2127,99
2128,22
2129,98
2130,358
2131,98
2132,419
2133,98
2134,760
2135,98
2136,36
2137,98
2138,22
2139,98
2140,120
2141,98
2142,116
2143,98
2144,117
2145,98
2146,19
2147,98
2148,167
2149,98
2150,130
2151,98
2152,41
2153,98
2154,57
2155,98
2156,107
2157,97
2158,363
2159,97
2160,400
2161,97
2162,115
2163,97
2164,82
2165,97
2166,56
2167,97
2168,14
2169,97
2170,163
2171,97
2172,635
2173,97
2174,88
2175,97
2176,48
2177,97
2178,44
2179,97
2180,50
2181,97
2182,19
2183,96
2184,27
2185,96
2186,47
2187,96
2188,1235
2189,96
2190,52
2191,96
2192,104
2193,96
2194,39
2195,96
2196,246
2197,96
2198,53
2199,96
2200,75
2201,95
2202,133
2203,95
2204,282
2205,95
2206,75
2207,95
2208,1586
2209,95
2210,298
2211,95
2212,210
2213,95
2214,83
2215,95
2216,44
2217,95
2218,64
2219,95
2220,36
2221,95
2222,34
2223,95
2224,51
2225,95
2226,285
2227,94
2228,28
2229,94
2230,178
2231,94
2232,34
2233,94
2234,47
2235,94
2236,17
2237,94
2238,176
2239,94
2240,51
2241,94
2242,143
2243,93
2244,156
2245,93
2246,124
2247,93
2248,128
2249,93
2250,100
2251,93
2252,52
2253,93
2254,147
2255,92
2256,200
2257,92
2258,47
2259,92
2260,15
2261,92
2262,25
2263,92
2264,53
2265,91
2266,268
2267,91
2268,38
2269,91
2270,200
2271,91
2272,50
2273,91
2274,165
2275,91
2276,59
2277,91
2278,68
2279,91
2280,178
2281,91
2282,814
2283,90
2284,103
2285,90
2286,107
2287,90
2288,5510
2289,90
2290,1738
2291,90
2292,293
2293,90
2294,144
2295,90
2296,42
2297,90
2298,252
2299,90
2300,522
2301,90
2302,180
2303,90
2304,27
2305,90
2306,92
2307,90
2308,73
2309,90
2310,50
2311,90
2312,98
2313,90
2314,42
2315,90
2316,50
2317,90
2318,50
