,titles
1232,Summer Of 85
1233,Cool Hand Luke
1234,Millennium Actress
1235,Home
1236,Dry Summer
1237,Purple Noon
1238,Minuscule: Valley Of The Lost Ants
1239,Casino
1240,"My Love, Don't Cross That River"
1241,The Thin Blue Line
1242,Love At Sea
1243,Christiane F.
1244,The Banishment
1245,Fifi Howls From Happiness
1246,The Future Tense
1247,The Rabbi's Cat
1248,The Kingdom I
1249,Battle Royale
1250,Alphaville
1251,Make Way For Tomorrow
1252,Z
1253,Green Porno: Mantis
1254,The Hidden Fortress
1255,The Lord Of The Rings: The Return Of The King (extended Version)
1256,Late Autumn
1257,The Kingdom Exodus
1258,What Happened Was...
1259,Transamazonia
1260,Loveless
